penalty,.iter,.metric,.estimator,mean,n,std_err,.config,model
2.493707406850199e-7,0,bal_accuracy,binary,0.8441123256863509,15,0.0076614586708041235,Model09,lasso-glove
2.493707406850199e-7,0,f_meas,binary,0.5152588180965318,15,0.013206371408669731,Model09,lasso-glove
2.493707406850199e-7,0,kap,binary,0.46282421331226387,15,0.013811207890606482,Model09,lasso-glove
2.493707406850199e-7,0,npv,binary,0.9817492527861901,15,0.001462468678628198,Model09,lasso-glove
2.493707406850199e-7,0,ppv,binary,0.3847521233943738,15,0.012742691844674902,Model09,lasso-glove
2.493707406850199e-7,0,precision,binary,0.3847521233943738,15,0.012742691844674905,Model09,lasso-glove
2.493707406850199e-7,0,recall,binary,0.7879786851531605,15,0.015279365697906205,Model09,lasso-glove
2.493707406850199e-7,0,roc_auc,binary,0.9328825884721816,15,0.0033818429638531613,Model09,lasso-glove
4.6742315506770874e-7,0,bal_accuracy,binary,0.8441123256863509,15,0.0076614586708041235,Model10,lasso-glove
4.6742315506770874e-7,0,f_meas,binary,0.5152588180965318,15,0.013206371408669731,Model10,lasso-glove
4.6742315506770874e-7,0,kap,binary,0.46282421331226387,15,0.013811207890606482,Model10,lasso-glove
4.6742315506770874e-7,0,npv,binary,0.9817492527861901,15,0.001462468678628198,Model10,lasso-glove
4.6742315506770874e-7,0,ppv,binary,0.3847521233943738,15,0.012742691844674902,Model10,lasso-glove
4.6742315506770874e-7,0,precision,binary,0.3847521233943738,15,0.012742691844674905,Model10,lasso-glove
4.6742315506770874e-7,0,recall,binary,0.7879786851531605,15,0.015279365697906205,Model10,lasso-glove
4.6742315506770874e-7,0,roc_auc,binary,0.9328825884721816,15,0.0033818429638531613,Model10,lasso-glove
2.0163331153732705e-6,0,bal_accuracy,binary,0.8441123256863509,15,0.0076614586708041235,Model11,lasso-glove
2.0163331153732705e-6,0,f_meas,binary,0.5152588180965318,15,0.013206371408669731,Model11,lasso-glove
2.0163331153732705e-6,0,kap,binary,0.46282421331226387,15,0.013811207890606482,Model11,lasso-glove
2.0163331153732705e-6,0,npv,binary,0.9817492527861901,15,0.001462468678628198,Model11,lasso-glove
