mtry,.iter,.metric,.estimator,mean,n,std_err,.config,model
363,25,precision,binary,0.9673166560451553,10,0.003109803784479384,Model1,rf
363,25,recall,binary,0.9628993119292228,10,0.004677062764159188,Model1,rf
363,25,roc_auc,binary,0.9341420841294286,10,0.006858154616710238,Model1,rf
372,0,bal_accuracy,binary,0.7780427270707096,10,0.01617513616977964,Model1,rf
372,0,f_meas,binary,0.9656951491001702,10,0.002940008360414649,Model1,rf
372,0,kap,binary,0.5372490265728772,10,0.03723086750774959,Model1,rf
372,0,npv,binary,0.5597935980102681,10,0.04595623932112051,Model1,rf
372,0,ppv,binary,0.9683018335391119,10,0.003200761298444148,Model1,rf
372,0,precision,binary,0.9683018335391118,10,0.0032007612984441425,Model1,rf
372,0,recall,binary,0.9632167432599376,10,0.004374722549528355,Model1,rf
372,0,roc_auc,binary,0.9340982034042294,10,0.007411416103621956,Model1,rf
380,31,bal_accuracy,binary,0.7734450840164137,10,0.01606464289736274,Model1,rf
380,31,f_meas,binary,0.9650248455276013,10,0.003104756362089309,Model1,rf
380,31,kap,binary,0.5288623159181276,10,0.03876723150741056,Model1,rf
380,31,npv,binary,0.5538611606258664,10,0.04881896011882699,Model1,rf
380,31,ppv,binary,0.9676285142905334,10,0.0032009566245615115,Model1,rf
380,31,precision,binary,0.9676285142905333,10,0.0032009566245615015,Model1,rf
380,31,recall,binary,0.9625669116968001,10,0.004790100110551703,Model1,rf
380,31,roc_auc,binary,0.9342065158577422,10,0.006939378801095876,Model1,rf
387,14,bal_accuracy,binary,0.773718962828593,10,0.015093332285453181,Model1,rf
387,14,f_meas,binary,0.96520119410371,10,0.002831872427457176,Model1,rf
387,14,kap,binary,0.529293519034831,10,0.035357541999108795,Model1,rf
387,14,npv,binary,0.5536909640914217,10,0.044774979874858255,Model1,rf
387,14,ppv,binary,0.9676521924097302,10,0.0031473812575974853,Model1,rf
387,14,precision,binary,0.9676521924097302,10,0.0031473812575974814,Model1,rf
387,14,recall,binary,0.9628982191047086,10,0.004518942457181083,Model1,rf
387,14,roc_auc,binary,0.9338814096874223,10,0.0068667256671223215,Model1,rf
394,33,bal_accuracy,binary,0.7728343161774481,10,0.014638534550855738,Model1,rf
394,33,f_meas,binary,0.9646718269885143,10,0.0030242233668621526,Model1,rf
394,33,kap,binary,0.5261932194140913,10,0.03678872530897525,Model1,rf
394,33,npv,binary,0.5497486065133124,10,0.047222375054186534,Model1,rf
394,33,ppv,binary,0.9676038932426185,10,0.0030039550463908816,Model1,rf
394,33,precision,binary,0.9676038932426185,10,0.003003955046390877,Model1,rf
394,33,recall,binary,0.9618908305643237,10,0.004823744552160709,Model1,rf
394,33,roc_auc,binary,0.9337446499537428,10,0.006869371243016615,Model1,rf
