mtry,min_n,.iter,.metric,.estimator,mean,n,std_err,.config,model
21,2,5,bal_accuracy,binary,0.7743278124249853,15,0.010895292958597877,Model1,rf-glove
21,2,5,f_meas,binary,0.5773571652179782,15,0.01607098601469233,Model1,rf-glove
21,2,5,kap,binary,0.5445093337816418,15,0.016851638260072646,Model1,rf-glove
21,2,5,npv,binary,0.966909562240067,15,0.002073599385804355,Model1,rf-glove
21,2,5,ppv,binary,0.5826063452765233,15,0.020888937135973982,Model1,rf-glove
21,2,5,precision,binary,0.5826063452765233,15,0.020888937135974003,Model1,rf-glove
21,2,5,recall,binary,0.5817543228642544,15,0.022637458293138454,Model1,rf-glove
21,2,5,roc_auc,binary,0.9335050438133669,15,0.004473366283574962,Model1,rf-glove
24,40,9,bal_accuracy,binary,0.7801959672466606,15,0.009743687089759047,Model1,rf-glove
24,40,9,f_meas,binary,0.5772735019559987,15,0.015296921807327226,Model1,rf-glove
24,40,9,kap,binary,0.5434316856439823,15,0.016076203586789285,Model1,rf-glove
24,40,9,npv,binary,0.9679639468017074,15,0.0019095622612641523,Model1,rf-glove
24,40,9,ppv,binary,0.5680497476891962,15,0.021307162719810323,Model1,rf-glove
24,40,9,precision,binary,0.5680497476891962,15,0.021307162719810313,Model1,rf-glove
24,40,9,recall,binary,0.5965973811183278,15,0.020459986808597286,Model1,rf-glove
24,40,9,roc_auc,binary,0.9344215691939628,15,0.004067881026459671,Model1,rf-glove
32,40,8,bal_accuracy,binary,0.7844689367123643,15,0.009983690572216906,Model1,rf-glove
32,40,8,f_meas,binary,0.5768285117874332,15,0.01412208693204739,Model1,rf-glove
32,40,8,kap,binary,0.5423989325328741,15,0.014691887273283345,Model1,rf-glove
32,40,8,npv,binary,0.9687284405139945,15,0.001959219369807185,Model1,rf-glove
32,40,8,ppv,binary,0.5582121810074228,15,0.019276741679304578,Model1,rf-glove
32,40,8,precision,binary,0.5582121810074228,15,0.01927674167930459,Model1,rf-glove
32,40,8,recall,binary,0.607176722858362,15,0.021374026405837934,Model1,rf-glove
32,40,8,roc_auc,binary,0.9318036010598144,15,0.004134418769946135,Model1,rf-glove
36,2,15,bal_accuracy,binary,0.7799591372346574,15,0.010631942005528005,Model1,rf-glove
36,2,15,f_meas,binary,0.5748256326493777,15,0.014414679450886873,Model1,rf-glove
36,2,15,kap,binary,0.5407446260527295,15,0.01500081814653149,Model1,rf-glove
36,2,15,npv,binary,0.9679610722334482,15,0.002026713506058142,Model1,rf-glove
36,2,15,ppv,binary,0.5639752192584776,15,0.019167441819784886,Model1,rf-glove
36,2,15,precision,binary,0.5639752192584775,15,0.019167441819784917,Model1,rf-glove
36,2,15,recall,binary,0.5966106218602424,15,0.022591488783298957,Model1,rf-glove
36,2,15,roc_auc,binary,0.9296765203095027,15,0.004626265953115375,Model1,rf-glove
41,40,4,bal_accuracy,binary,0.7836482330151456,15,0.009843717584207635,Model1,rf-glove
41,40,4,f_meas,binary,0.5677741862990265,15,0.013732029046214258,Model1,rf-glove
41,40,4,kap,binary,0.5319707311111829,15,0.014222110824208354,Model1,rf-glove
41,40,4,npv,binary,0.9687514559042205,15,0.0019111896508150286,Model1,rf-glove
41,40,4,ppv,binary,0.5403322877342787,15,0.018523674995738974,Model1,rf-glove
41,40,4,precision,binary,0.5403322877342787,15,0.018523674995738995,Model1,rf-glove
41,40,4,recall,binary,0.6084077587232556,15,0.02104939841101206,Model1,rf-glove
41,40,4,roc_auc,binary,0.9293682189247291,15,0.0040183750733275925,Model1,rf-glove
47,2,11,bal_accuracy,binary,0.7823756459480304,15,0.010416616601479741,Model1,rf-glove
47,2,11,f_meas,binary,0.5705826693206606,15,0.013583050704790952,Model1,rf-glove
47,2,11,kap,binary,0.5354311768879296,15,0.014094704856841554,Model1,rf-glove
47,2,11,npv,binary,0.968458878542834,15,0.0020140189730010827,Model1,rf-glove
47,2,11,ppv,binary,0.549547116765207,15,0.018306273993467324,Model1,rf-glove
47,2,11,precision,binary,0.549547116765207,15,0.018306273993467338,Model1,rf-glove
47,2,11,recall,binary,0.6042005323821715,15,0.02242845068650623,Model1,rf-glove
47,2,11,roc_auc,binary,0.9249806148944371,15,0.004787869970695322,Model1,rf-glove
57,40,12,bal_accuracy,binary,0.7879843839897754,15,0.01018821629207932,Model1,rf-glove
57,40,12,f_meas,binary,0.5582120503990954,15,0.011235722948121328,Model1,rf-glove
57,40,12,kap,binary,0.5201385073152646,15,0.01152854550224496,Model1,rf-glove
57,40,12,npv,binary,0.969630642146745,15,0.002054734420681015,Model1,rf-glove
57,40,12,ppv,binary,0.512451604247125,15,0.013820457426423514,Model1,rf-glove
57,40,12,precision,binary,0.512451604247125,15,0.013820457426423502,Model1,rf-glove
57,40,12,recall,binary,0.6228461212334603,15,0.021982621818307478,Model1,rf-glove
57,40,12,roc_auc,binary,0.9247016059965382,15,0.004163405233158224,Model1,rf-glove
58,2,13,bal_accuracy,binary,0.7830483006630792,15,0.009632135757892365,Model1,rf-glove
58,2,13,f_meas,binary,0.5629024042519236,15,0.012096165102023096,Model1,rf-glove
58,2,13,kap,binary,0.5262370747911266,15,0.012569620848764548,Model1,rf-glove
58,2,13,npv,binary,0.9686893591431884,15,0.001968270201952478,Model1,rf-glove
58,2,13,ppv,binary,0.5304829941653997,15,0.01579435269722539,Model1,rf-glove
58,2,13,precision,binary,0.5304829941653997,15,0.015794352697225362,Model1,rf-glove
58,2,13,recall,binary,0.6089079244557539,15,0.02076364493644501,Model1,rf-glove
58,2,13,roc_auc,binary,0.9215990800610319,15,0.004637624393324799,Model1,rf-glove
64,40,7,bal_accuracy,binary,0.7894273240089885,15,0.00973208321917851,Model1,rf-glove
64,40,7,f_meas,binary,0.5585420182498803,15,0.011770530874149102,Model1,rf-glove
64,40,7,kap,binary,0.5202350708381813,15,0.012155430022824676,Model1,rf-glove
64,40,7,npv,binary,0.9699477067816563,15,0.0019149830301241465,Model1,rf-glove
64,40,7,ppv,binary,0.5097325571959318,15,0.014153464188317486,Model1,rf-glove
64,40,7,precision,binary,0.5097325571959318,15,0.014153464188317486,Model1,rf-glove
64,40,7,recall,binary,0.6265760977235083,15,0.020885583593191488,Model1,rf-glove
64,40,7,roc_auc,binary,0.9230388106151833,15,0.004296729503078214,Model1,rf-glove
71,3,1,bal_accuracy,binary,0.7810156234698138,15,0.00990687139770872,Model1,rf-glove
71,3,1,f_meas,binary,0.5569429947804937,15,0.01261714360950007,Model1,rf-glove
71,3,1,kap,binary,0.5196586560167883,15,0.013035542399098765,Model1,rf-glove
71,3,1,npv,binary,0.9684264077775473,15,0.002004061937697645,Model1,rf-glove
71,3,1,ppv,binary,0.5226143184551143,15,0.015824167577900786,Model1,rf-glove
71,3,1,precision,binary,0.5226143184551143,15,0.01582416757790078,Model1,rf-glove
71,3,1,recall,binary,0.6059097585620434,15,0.021257814222529363,Model1,rf-glove
71,3,1,roc_auc,binary,0.916407989681033,15,0.005306299551953341,Model1,rf-glove
72,39,10,bal_accuracy,binary,0.7917838611638256,15,0.009269214033537797,Model1,rf-glove
72,39,10,f_meas,binary,0.5587822276385472,15,0.012142635181765704,Model1,rf-glove
72,39,10,kap,binary,0.5201524363237959,15,0.012590165399798106,Model1,rf-glove
72,39,10,npv,binary,0.9703760299777278,15,0.0018323897951055329,Model1,rf-glove
72,39,10,ppv,binary,0.5059203118989144,15,0.015015158112151357,Model1,rf-glove
72,39,10,precision,binary,0.5059203118989144,15,0.015015158112151357,Model1,rf-glove
72,39,10,recall,binary,0.6324822992126956,15,0.019702223591462245,Model1,rf-glove
72,39,10,roc_auc,binary,0.9194510995340204,15,0.004641484770961343,Model1,rf-glove
