mtry,min_n,tree_depth,learn_rate,loss_reduction,sample_size,.iter,.metric,.estimator,mean,n,std_err,.config,model
39,13,12,6.561534730809233e-5,1.8547763810923594e-6,0.5061672371812165,0,f_meas,binary,0.5215533670482732,50,0.01050604094400484,Model15,xgb-wv-wv
39,13,12,6.561534730809233e-5,1.8547763810923594e-6,0.5061672371812165,0,kap,binary,0.4705485095048685,50,0.011016309654879037,Model15,xgb-wv-wv
39,13,12,6.561534730809233e-5,1.8547763810923594e-6,0.5061672371812165,0,npv,binary,0.9822048776796652,50,0.0010858123167220971,Model15,xgb-wv-wv
39,13,12,6.561534730809233e-5,1.8547763810923594e-6,0.5061672371812165,0,ppv,binary,0.3934126768739032,50,0.011014508697932216,Model15,xgb-wv-wv
39,13,12,6.561534730809233e-5,1.8547763810923594e-6,0.5061672371812165,0,precision,binary,0.39341267687390313,50,0.011014508697932216,Model15,xgb-wv-wv
39,13,12,6.561534730809233e-5,1.8547763810923594e-6,0.5061672371812165,0,recall,binary,0.7941416291663955,50,0.011447011545440552,Model15,xgb-wv-wv
39,13,12,6.561534730809233e-5,1.8547763810923594e-6,0.5061672371812165,0,roc_auc,binary,0.9334300250314256,50,0.003057795705066217,Model15,xgb-wv-wv
27,21,15,0.0011282138458960993,0.010036409823943226,0.7881899210307747,0,bal_accuracy,binary,0.839582999065346,50,0.006522652150248199,Model16,xgb-wv-wv
27,21,15,0.0011282138458960993,0.010036409823943226,0.7881899210307747,0,f_meas,binary,0.511369896488091,50,0.010501012429084597,Model16,xgb-wv-wv
27,21,15,0.0011282138458960993,0.010036409823943226,0.7881899210307747,0,kap,binary,0.45928881875585276,50,0.0110023869008394,Model16,xgb-wv-wv
27,21,15,0.0011282138458960993,0.010036409823943226,0.7881899210307747,0,npv,binary,0.9808981167599835,50,0.0011824157251851346,Model16,xgb-wv-wv
27,21,15,0.0011282138458960993,0.010036409823943226,0.7881899210307747,0,ppv,binary,0.38572363534326337,50,0.010504827421908348,Model16,xgb-wv-wv
27,21,15,0.0011282138458960993,0.010036409823943226,0.7881899210307747,0,precision,binary,0.38572363534326337,50,0.01050482742190835,Model16,xgb-wv-wv
27,21,15,0.0011282138458960993,0.010036409823943226,0.7881899210307747,0,recall,binary,0.77769699051434,50,0.01308418804408763,Model16,xgb-wv-wv
27,21,15,0.0011282138458960993,0.010036409823943226,0.7881899210307747,0,roc_auc,binary,0.9286758669601372,50,0.0032882660445298427,Model16,xgb-wv-wv
102,14,11,2.276580217579853e-9,2.3450766233268584e-5,0.29664980237651617,0,bal_accuracy,binary,0.8322337968726458,50,0.006079679765313473,Model17,xgb-wv-wv
102,14,11,2.276580217579853e-9,2.3450766233268584e-5,0.29664980237651617,0,f_meas,binary,0.5659915255620478,50,0.010924247387334864,Model17,xgb-wv-wv
102,14,11,2.276580217579853e-9,2.3450766233268584e-5,0.29664980237651617,0,kap,binary,0.5244120791527718,50,0.011590569249817039,Model17,xgb-wv-wv
102,14,11,2.276580217579853e-9,2.3450766233268584e-5,0.29664980237651617,0,npv,binary,0.9775102953087141,50,0.0012223978617047573,Model17,xgb-wv-wv
102,14,11,2.276580217579853e-9,2.3450766233268584e-5,0.29664980237651617,0,ppv,binary,0.47129708310308077,50,0.013177842871694934,Model17,xgb-wv-wv
102,14,11,2.276580217579853e-9,2.3450766233268584e-5,0.29664980237651617,0,precision,binary,0.4712970831030808,50,0.013177842871694934,Model17,xgb-wv-wv
102,14,11,2.276580217579853e-9,2.3450766233268584e-5,0.29664980237651617,0,recall,binary,0.7303519536750894,50,0.012604784915444209,Model17,xgb-wv-wv
102,14,11,2.276580217579853e-9,2.3450766233268584e-5,0.29664980237651617,0,roc_auc,binary,0.9332974807254819,50,0.00287941721907773,Model17,xgb-wv-wv
65,28,13,3.6429490148504697e-10,1.9448047495915928e-7,0.9097933431882411,0,bal_accuracy,binary,0.805854339342319,50,0.006139456725505324,Model18,xgb-wv-wv
65,28,13,3.6429490148504697e-10,1.9448047495915928e-7,0.9097933431882411,0,f_meas,binary,0.6059505668156658,50,0.010831440810487957,Model18,xgb-wv-wv
65,28,13,3.6429490148504697e-10,1.9448047495915928e-7,0.9097933431882411,0,kap,binary,0.5734243238153967,50,0.011500366526363161,Model18,xgb-wv-wv
65,28,13,3.6429490148504697e-10,1.9448047495915928e-7,0.9097933431882411,0,npv,binary,0.971875677985571,50,0.0012739600835753662,Model18,xgb-wv-wv
65,28,13,3.6429490148504697e-10,1.9448047495915928e-7,0.9097933431882411,0,ppv,binary,0.5795146718367011,50,0.015232893119640455,Model18,xgb-wv-wv
65,28,13,3.6429490148504697e-10,1.9448047495915928e-7,0.9097933431882411,0,precision,binary,0.5795146718367011,50,0.015232893119640458,Model18,xgb-wv-wv
65,28,13,3.6429490148504697e-10,1.9448047495915928e-7,0.9097933431882411,0,recall,binary,0.6495003179529169,50,0.012340970912355923,Model18,xgb-wv-wv
65,28,13,3.6429490148504697e-10,1.9448047495915928e-7,0.9097933431882411,0,roc_auc,binary,0.9320751165622907,50,0.0026316236532683847,Model18,xgb-wv-wv
110,9,5,5.059541970301537e-4,0.022378690828965514,0.15230882864259185,0,bal_accuracy,binary,0.8331126461954104,50,0.005914685392828024,Model19,xgb-wv-wv
110,9,5,5.059541970301537e-4,0.022378690828965514,0.15230882864259185,0,f_meas,binary,0.5311971496382941,50,0.010616710122503618,Model19,xgb-wv-wv
110,9,5,5.059541970301537e-4,0.022378690828965514,0.15230882864259185,0,kap,binary,0.48304994393044765,50,0.011387907138415627,Model19,xgb-wv-wv
110,9,5,5.059541970301537e-4,0.022378690828965514,0.15230882864259185,0,npv,binary,0.9787265409084029,50,0.0011328804636019424,Model19,xgb-wv-wv
110,9,5,5.059541970301537e-4,0.022378690828965514,0.15230882864259185,0,ppv,binary,0.41651012249736474,50,0.011525938898260951,Model19,xgb-wv-wv
110,9,5,5.059541970301537e-4,0.022378690828965514,0.15230882864259185,0,precision,binary,0.41651012249736474,50,0.011525938898260948,Model19,xgb-wv-wv
110,9,5,5.059541970301537e-4,0.022378690828965514,0.15230882864259185,0,recall,binary,0.7504153344645523,50,0.011305360594108848,Model19,xgb-wv-wv
110,9,5,5.059541970301537e-4,0.022378690828965514,0.15230882864259185,0,roc_auc,binary,0.9312657629995926,50,0.002953614413301152,Model19,xgb-wv-wv
71,20,6,0.0036449695775481582,26.98800943897,0.37927456786297264,0,bal_accuracy,binary,0.8321354522436326,50,0.0061089801503434495,Model20,xgb-wv-wv
71,20,6,0.0036449695775481582,26.98800943897,0.37927456786297264,0,f_meas,binary,0.5472043200688524,50,0.01062685116151929,Model20,xgb-wv-wv
71,20,6,0.0036449695775481582,26.98800943897,0.37927456786297264,0,kap,binary,0.5024141276644101,50,0.011264520555298769,Model20,xgb-wv-wv
71,20,6,0.0036449695775481582,26.98800943897,0.37927456786297264,0,npv,binary,0.9778854897867904,50,0.0012650764486232516,Model20,xgb-wv-wv
71,20,6,0.0036449695775481582,26.98800943897,0.37927456786297264,0,ppv,binary,0.4422743596930143,50,0.012514251150739139,Model20,xgb-wv-wv
71,20,6,0.0036449695775481582,26.98800943897,0.37927456786297264,0,precision,binary,0.4422743596930144,50,0.01251425115073914,Model20,xgb-wv-wv
71,20,6,0.0036449695775481582,26.98800943897,0.37927456786297264,0,recall,binary,0.7385515394208266,50,0.01221973610389682,Model20,xgb-wv-wv
71,20,6,0.0036449695775481582,26.98800943897,0.37927456786297264,0,roc_auc,binary,0.9361502046126986,50,0.0026569446375323312,Model20,xgb-wv-wv
35,26,7,8.960291858436781e-8,1.543555437733985e-9,0.8496821580026298,0,bal_accuracy,binary,0.8427768308352463,50,0.005591093505816459,Model21,xgb-wv-wv
35,26,7,8.960291858436781e-8,1.543555437733985e-9,0.8496821580026298,0,f_meas,binary,0.4900520383098637,50,0.010156253015936357,Model21,xgb-wv-wv
35,26,7,8.960291858436781e-8,1.543555437733985e-9,0.8496821580026298,0,kap,binary,0.4336312459119647,50,0.010523132789149113,Model21,xgb-wv-wv
35,26,7,8.960291858436781e-8,1.543555437733985e-9,0.8496821580026298,0,npv,binary,0.9825032625942453,50,0.0010295829370413772,Model21,xgb-wv-wv
35,26,7,8.960291858436781e-8,1.543555437733985e-9,0.8496821580026298,0,ppv,binary,0.35733186700456687,50,0.009973466771298272,Model21,xgb-wv-wv
35,26,7,8.960291858436781e-8,1.543555437733985e-9,0.8496821580026298,0,precision,binary,0.35733186700456687,50,0.009973466771298267,Model21,xgb-wv-wv
35,26,7,8.960291858436781e-8,1.543555437733985e-9,0.8496821580026298,0,recall,binary,0.8001433326196776,50,0.011111215270645618,Model21,xgb-wv-wv
35,26,7,8.960291858436781e-8,1.543555437733985e-9,0.8496821580026298,0,roc_auc,binary,0.9291383456169142,50,0.0032522155470826406,Model21,xgb-wv-wv
116,25,6,0.011245421249495265,1.252905939642624e-7,0.9602791476882995,0,bal_accuracy,binary,0.8284549262845067,50,0.006145934533366579,Model22,xgb-wv-wv
116,25,6,0.011245421249495265,1.252905939642624e-7,0.9602791476882995,0,f_meas,binary,0.606410586502481,50,0.010082845899089803,Model22,xgb-wv-wv
116,25,6,0.011245421249495265,1.252905939642624e-7,0.9602791476882995,0,kap,binary,0.5714252248691758,50,0.010755370249080442,Model22,xgb-wv-wv
116,25,6,0.011245421249495265,1.252905939642624e-7,0.9602791476882995,0,npv,binary,0.9757431579244824,50,0.0012782336466076476,Model22,xgb-wv-wv
116,25,6,0.011245421249495265,1.252905939642624e-7,0.9602791476882995,0,ppv,binary,0.5414786238359179,50,0.013439207481006741,Model22,xgb-wv-wv
