mtry,min_n,.iter,.metric,.estimator,mean,n,std_err,.config,model
47,35,0,bal_accuracy,binary,0.7992834560802842,50,0.006716746177711263,Model22,rf-wv
47,35,0,f_meas,binary,0.5896505665674455,50,0.009949287136758325,Model22,rf-wv
47,35,0,kap,binary,0.5556509306708113,50,0.01050671214791031,Model22,rf-wv
47,35,0,npv,binary,0.9708629277305011,50,0.00145144194727964,Model22,rf-wv
47,35,0,ppv,binary,0.5601883251462442,50,0.013411614237711724,Model22,rf-wv
47,35,0,precision,binary,0.5601883251462442,50,0.013411614237711722,Model22,rf-wv
47,35,0,recall,binary,0.6384399306666714,50,0.01386214951301888,Model22,rf-wv
47,35,0,roc_auc,binary,0.9370463523543995,50,0.0026944414597242475,Model22,rf-wv
10,17,0,bal_accuracy,binary,0.7930838465056894,50,0.006634093169797325,Model23,rf-wv
10,17,0,f_meas,binary,0.6181498449568384,50,0.010636508403770464,Model23,rf-wv
10,17,0,kap,binary,0.5890667157998314,50,0.011204868001124359,Model23,rf-wv
10,17,0,npv,binary,0.9693686046045606,50,0.0014069506540847637,Model23,rf-wv
10,17,0,ppv,binary,0.6345097522965809,50,0.014424218717632147,Model23,rf-wv
10,17,0,precision,binary,0.6345097522965809,50,0.014424218717632135,Model23,rf-wv
10,17,0,recall,binary,0.6142161848510088,50,0.013398462125103365,Model23,rf-wv
10,17,0,roc_auc,binary,0.9398511503171652,50,0.0028422671777869023,Model23,rf-wv
36,29,0,bal_accuracy,binary,0.8022158848928455,50,0.006470599932635535,Model24,rf-wv
36,29,0,f_meas,binary,0.6031720526998153,50,0.010195151585633225,Model24,rf-wv
36,29,0,kap,binary,0.5707892033439503,50,0.010770804875427642,Model24,rf-wv
36,29,0,npv,binary,0.9712199274440821,50,0.0013804915136636584,Model24,rf-wv
36,29,0,ppv,binary,0.5813281746869563,50,0.013862735111909155,Model24,rf-wv
36,29,0,precision,binary,0.5813281746869563,50,0.013862735111909157,Model24,rf-wv
36,29,0,recall,binary,0.6412227371322365,50,0.013246534927955852,Model24,rf-wv
36,29,0,roc_auc,binary,0.9390418982966503,50,0.002735376573263349,Model24,rf-wv
121,22,0,bal_accuracy,binary,0.7916907032588311,50,0.005650347392839373,Model25,rf-wv
121,22,0,f_meas,binary,0.5763803982884566,50,0.009877811775616079,Model25,rf-wv
121,22,0,kap,binary,0.5409953433494685,50,0.010421037396908011,Model25,rf-wv
121,22,0,npv,binary,0.9699333452533953,50,0.0012415743779655387,Model25,rf-wv
121,22,0,ppv,binary,0.5459835661574264,50,0.01400901277069884,Model25,rf-wv
121,22,0,precision,binary,0.5459835661574263,50,0.014009012770698829,Model25,rf-wv
121,22,0,recall,binary,0.6252036070575019,50,0.011553279347880233,Model25,rf-wv
121,22,0,roc_auc,binary,0.9245788985495602,50,0.003140615307849525,Model25,rf-wv
1,5,5,bal_accuracy,binary,0.7654129219524867,50,0.007403405866055912,Model1,rf-wv
1,5,5,f_meas,binary,0.5013380394221515,50,0.012595725085434453,Model1,rf-wv
1,5,5,kap,binary,0.456701126563151,50,0.013503947255157241,Model1,rf-wv
1,5,5,npv,binary,0.9665627567869312,50,0.001546231606676123,Model1,rf-wv
1,5,5,ppv,binary,0.44745151971803393,50,0.015405924014117058,Model1,rf-wv
1,5,5,precision,binary,0.447451519718034,50,0.015405924014117058,Model1,rf-wv
1,5,5,recall,binary,0.5898488254342368,50,0.014663247981662957,Model1,rf-wv
1,5,5,roc_auc,binary,0.9030890573639865,50,0.004099864135643535,Model1,rf-wv
1,39,24,bal_accuracy,binary,0.7745660282638528,50,0.007257264325328399,Model1,rf-wv
1,39,24,f_meas,binary,0.49259773166472826,50,0.012315978038256646,Model1,rf-wv
1,39,24,kap,binary,0.44488860613871684,50,0.013070713453765323,Model1,rf-wv
1,39,24,npv,binary,0.9685957714196347,50,0.0014297930605693594,Model1,rf-wv
1,39,24,ppv,binary,0.41802060018435544,50,0.013758308737128662,Model1,rf-wv
1,39,24,precision,binary,0.41802060018435544,50,0.013758308737128662,Model1,rf-wv
1,39,24,recall,binary,0.6181987716848567,50,0.014407795930040004,Model1,rf-wv
1,39,24,roc_auc,binary,0.9016029337281233,50,0.004188960174687249,Model1,rf-wv
8,2,1,bal_accuracy,binary,0.7852967642906297,50,0.005773144122118418,Model1,rf-wv
8,2,1,f_meas,binary,0.6056391803993867,50,0.009948112301269232,Model1,rf-wv
8,2,1,kap,binary,0.575586104723705,50,0.01052342669016738,Model1,rf-wv
8,2,1,npv,binary,0.9681512475544791,50,0.0013700586080384659,Model1,rf-wv
8,2,1,ppv,binary,0.6229405702509553,50,0.014083227058080605,Model1,rf-wv
8,2,1,precision,binary,0.6229405702509552,50,0.014083227058080601,Model1,rf-wv
8,2,1,recall,binary,0.5993576633535116,50,0.011562431867817049,Model1,rf-wv
8,2,1,roc_auc,binary,0.9383743104824253,50,0.0029975834050600505,Model1,rf-wv
15,39,6,bal_accuracy,binary,0.8036814130540137,50,0.00639562024037995,Model1,rf-wv
15,39,6,f_meas,binary,0.6230305526842685,50,0.01003968077406568,Model1,rf-wv
15,39,6,kap,binary,0.5932174811254283,50,0.010642683319055457,Model1,rf-wv
15,39,6,npv,binary,0.9711529607925974,50,0.0013688924018208557,Model1,rf-wv
15,39,6,ppv,binary,0.6199384399112382,50,0.014139386540127955,Model1,rf-wv
15,39,6,precision,binary,0.6199384399112382,50,0.01413938654012796,Model1,rf-wv
15,39,6,recall,binary,0.6386498973164348,50,0.013012193719089215,Model1,rf-wv
15,39,6,roc_auc,binary,0.9412073134136523,50,0.0028270746394535844,Model1,rf-wv
20,39,14,bal_accuracy,binary,0.8051914930761721,50,0.006366352991835756,Model1,rf-wv
